Local Area Unemployment Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUST20000005,1030125,1066860,1103688,1130384,1136602,1142125,1102454,1114583,1138700,1160675,1176462,1197875,1215080,1227940,1215102,1225007,1244438,1257847,1279098,1296202,1311843,1329797,1348793,1359908,1351988,1347715,1350960,1364787,1381343,1390292,1403938,1411384,1415467,1399356,1397208,1404339,1410762
LAUST20000006,1075390,1110790,1139240,1166800,1190359,1192887,1179169,1185928,1198398,1223802,1243442,1259792,1273147,1281884,1270352,1283125,1304907,1325075,1344443,1355850,1371948,1383486,1401588,1409556,1405104,1408103,1424054,1445385,1462277,1465098,1468402,1471969,1480875,1507644,1504883,1505043,1488350
LASST21000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
LASST21000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174849
LASST21000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909170
LASST21000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2084019
LAUST21000003,5.5,4.9,5.3,5.7,8.1,8.7,10.8,11.3,9.1,9.1,9.2,8.3,7.6,6.5,6.1,7.4,7,6.4,5.5,5.6,5.5,5.4,4.6,4.6,4.2,5.2,5.7,6.3,5.6,6,5.9,5.6,6.6,10.3,10.2,9.5,7.8
LAUST21000004,82546,75388,82755,91732,133863,144124,182073,192372,155081,155274,158317,142456,131472,112385,106730,130993,123891,114900,99842,103785,103008,102806,87517,90114,82665,102086,111975,123692,109149,120765,119665,115018,134440,211846,210776,196981,161977
LAUST21000005,1415732,1459285,1492258,1513765,1524710,1517346,1504720,1514224,1544894,1549162,1559365,1572029,1593312,1623638,1640875,1639343,1658511,1689100,1729483,1757111,1777259,1809785,1832775,1854270,1866348,1852056,1838495,1848059,1854703,1875512,1904467,1923728,1903511,1844151,1849404,1870546,1925477
LAUST21000006,1498278,1534673,1575013,1605497,1658573,1661470,1686793,1706596,1699975,1704436,1717682,1714485,1724784,1736023,1747605,1770336,1782402,1804000,1829325,1860896,1880267,1912591,1920292,1944384,1949013,1954142,1950470,1971751,1963852,1996277,2024132,2038746,2037951,2055997,2060180,2067527,2087454
LASST22000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
LASST22000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137785
LASST22000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940995
LASST22000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2078780
LAUST22000003,6.5,6.8,6.8,6.5,6.9,8.4,10.2,11.7,9.9,11.5,12.5,11.8,10.5,7.6,5.9,6.9,7.9,7.4,7.5,6.7,6.3,5.7,5.3,4.7,5,5.4,5.9,6.2,5.5,6.7,3.9,3.8,4.4,6.6,7.5,7.3,6.3
LAUST22000004,99827,109024,112864,111119,122641,156458,191098,223825,191519,228163,245349,229898,202456,144553,110082,132226,152539,139704,145780,130599,125240,114690,108358,95430,100630,108777,118214,125445,112495,139473,77823,76311,90875,136416,154724,151332,131530
LAUST22000005,1425882,1488492,1558080,1609541,1655477,1695478,1680499,1686148,1747918,1761420,1721034,1718394,1725937,1745552,1767306,1789796,1787541,1738570,1785654,1820359,1855474,1890102,1918907,1926732,1930662,1922110,1892636,1898829,1928464,1935850,1900240,1934340,1964805,1914974,1915344,1909303,1972435
LAUST22000006,1525709,1597516,1670944,1720660,1778118,1851936,1871597,1909973,1939437,1989583,1966383,1948292,1928393,1890105,1877388,1922022,1940080,1878274,1931434,1950958,1980714,2004792,2027265,2022162,2031292,2030887,2010850,2024274,2040959,2075323,1978063,2010651,2055680,2051390,2070068,2060635,2103965
LASST23000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
LASST23000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52705
LASST23000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655416
LASST23000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708121
LAUST23000003,8.5,8.3,6.4,6.6,7.4,7.1,8.3,8,6,5.5,5.2,4.3,3.7,4,5.3,7.6,7.1,6.6,6.4,5.8,5.2,5.1,4.5,3.9,3.3,3.7,4.4,5,4.6,4.9,4.7,4.7,5.4,8.1,8.2,7.5,6.7
LAUST23000004,40521,39886,31036,32908,37674,36528,43093,42460,32968,30758,29420,25140,21677,24357,33245,48266,45540,41604,40598,37130,34190,33743,29495,26322,22055,25282,29626,34231,31687,33820,32671,33013,37938,56924,57324,53040,47521
LAUST23000005,435744,441823,456381,467466,468554,476094,477465,490350,516300,523928,535662,557257,571534,584292,597902,590604,594082,589800,589073,601565,617479,624410,627920,641351,650385,650699,650943,650458,653847,658507,665856,666350,665463,642593,643244,651038,666993
LAUST23000006,476265,481709,487417,500374,506228,512622,520558,532810,549268,554686,565082,582397,593211,608649,631147,638870,639622,631404,629671,638695,651669,658153,657415,667673,672440,675981,680569,684689,685534,692327,698527,699363,703401,699517,700568,704078,714514
LASST24000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
LASST24000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208578
LASST24000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2886061
LASST24000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3094639
LAUST24000003,6.6,6.1,5.7,5.8,6.6,7.2,8.2,7.3,5.1,4.7,4.6,4.3,4.1,3.7,4.6,6.2,6.6,6,5.2,5.1,4.9,4.8,4.3,3.6,3.6,4.1,4.5,4.5,4.3,4.1,3.8,3.4,4.3,7.4,7.8,7,6.3
LAUST24000004,126199,121293,116775,122539,142084,155078,179770,161239,114491,106335,107306,103254,100903,93983,117578,163504,174749,159280,138753,137191,136154,132002,118817,100027,100275,114779,128318,128702,123657,121723,114531,102980,129126,224146,239441,216511,197815
LAUST24000005,1790626,1852628,1935453,1986059,1999598,2007801,2001682,2038581,2121945,2164022,2238594,2303303,2359898,2423440,2465249,2466378,2484910,2501515,2545413,2572708,2615584,2646200,2661192,2687843,2711382,2712268,2733103,2741325,2761583,2825040,2892733,2885456,2896248,2805817,2817830,2855735,2920571
LAUST24000006,1916825,1973921,2052228,2108598,2141682,2162879,2181452,2199820,2236436,2270357,2345900,2406557,2460801,2517423,2582827,2629882,2659659,2660795,2684166,2709899,2751738,2778202,2780009,2787870,2811657,2827047,2861421,2870027,2885240,2946763,3007264,2988436,3025374,3029963,3057271,3072246,3118386
LASST25000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
LASST25000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230197
LASST25000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3243670
LASST25000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3473867
LAUST25000003,9.8,7.9,6.2,5.5,5.7,6.4,8,7,4.8,4.1,4,3.4,3.3,4.2,6.3,8.8,8.8,7.3,6.2,5.5,4.6,4.1,3.4,3.3,2.7,3.7,5.3,5.8,5.2,4.8,4.8,4.5,5.3,8.2,8.3,7.4,6.2
LAUST25000004,267633,218418,173402,156341,164064,189276,236372,208954,145657,124753,122686,104458,104345,132422,203975,282590,281022,232339,198690,175528,147721,134564,112674,109563,92292,125993,181003,197648,176839,163579,162495,154422,185229,283543,288590,254191,216105
LAUST25000005,2458306,2541441,2635115,2706845,2721430,2749062,2729293,2763148,2886782,2924626,2957321,3009900,3051355,3057019,3022393,2916293,2899718,2940565,2989123,3029360,3083332,3158851,3208988,3245761,3273281,3275343,3243409,3209062,3203810,3219717,3255504,3276532,3277179,3184631,3180680,3202251,3263809
LAUST25000006,2725939,2759859,2808517,2863186,2885494,2938338,2965665,2972102,3032439,3049379,3080007,3114358,3155700,3189441,3226368,3198883,3180740,3172904,3187813,3204888,3231053,3293415,3321662,3355324,3365573,3401336,3424412,3406710,3380649,3383296,3417999,3430954,3462408,3468174,3469270,3456442,3479914
LASST26000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
LASST26000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427328
LASST26000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247150
LASST26000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4674478
LAUST26000003,9.4,8.2,7.1,7.9,12.1,12.5,15.6,14.6,11.4,10.1,8.9,8.3,7.6,7.2,7.7,9.3,9.2,7.4,6.2,5.3,4.9,4.3,4,3.8,3.7,5.2,6.2,7.1,7.1,6.8,6.9,7.1,8.3,13.4,12.7,10.3,8.3
LAUST26000004,375504,337780,298640,341586,523792,537623,662401,621937,490322,438653,390415,374772,346245,332314,357579,426807,426913,347053,295563,258418,241076,214386,198450,192277,190495,267531,314740,357741,355651,346018,348965,356401,409456,651321,600566,479987,387572
LAUST26000005,3602604,3768991,3934954,3993383,3801322,3757950,3595428,3635797,3824950,3924471,4020118,4129900,4213423,4292254,4262409,4162074,4234783,4364545,4508900,4576521,4647116,4748691,4809503,4897144,4953421,4876338,4724998,4675567,4686953,4717188,4722716,4678094,4549681,4200139,4146562,4178121,4298003
LAUST26000006,3978108,4106771,4233594,4334969,4325114,4295573,4257829,4257734,4315272,4363124,4410533,4504672,4559668,4624568,4619988,4588881,4661696,4711598,4804463,4834939,4888192,4963077,5007953,5089421,5143916,5143869,5039738,5033308,5042604,5063206,5071681,5034495,4959137,4851460,4747128,4658108,4685575
LASST27000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
LASST27000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174009
LASST27000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2801613
LASST27000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2975622
LAUST27000003,5.9,5.4,4,4.3,5.9,5.7,8.1,8,6.3,6,5.6,5.1,4.3,4.3,4.8,5.2,5.1,4.9,4.1,3.7,3.9,3.3,2.7,2.8,3.1,3.8,4.5,4.9,4.6,4.2,4.1,4.7,5.4,8,7.3,6.4,5.2
LAUST27000004,109135,102844,78383,87531,124286,122461,175005,173938,138980,134186,125931,117929,100145,103071,114157,126265,126208,124019,104975,97531,104366,88675,75042,76883,87176,110216,130805,140723,133571,120245,118505,135385,157911,236031,217099,190788,155188
LAUST27000005,1748910,1818307,1899341,1955727,1976259,2010296,1991237,2009567,2084327,2106717,2134474,2180884,2227930,2268770,2275853,2300781,2341011,2391055,2471516,2529464,2565808,2605673,2656674,2686942,2720492,2755808,2749525,2750938,2752403,2756709,2774524,2768068,2770446,2710803,2741587,2787131,2824024
LAUST27000006,1858045,1921151,1977724,2043258,2100545,2132757,2166242,2183505,2223307,2240903,2260405,2298813,2328075,2371841,2390010,2427046,2467219,2515074,2576491,2626995,2670174,2694348,2731716,2763825,2807668,2866024,2880330,2891661,2885974,2876954,2893029,2903453,2928357,2946834,2958686,2977919,2979212
LASST28000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
LASST28000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119457
LASST28000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1218261
LASST28000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337718
LAUST28000003,6.7,7.5,7,5.7,7.7,8.7,11.5,12.6,10.8,10.8,12.1,10.4,8.7,8,7.7,8.9,8.3,7,6.6,6.5,6.3,6,5.4,5.3,5.7,5.6,6.7,6.4,6.3,7.8,6.8,6.3,6.8,9.4,10.5,10.7,8.3
LAUST28000004,64864,75217,71371,58283,80791,91468,123345,136875,117841,121272,140302,120541,100154,93419,90325,106030,99961,84278,82591,82289,79591,77170,69827,67959,74295,72680,87604,83806,83525,102600,87363,82165,88376,121228,138445,143136,110862
LAUST28000005,904375,923240,942657,963351,970388,963557,949738,947586,974286,1003607,1018979,1034538,1048249,1069429,1085419,1084695,1097672,1126904,1159959,1175278,1187018,1200845,1211535,1223725,1239859,1229884,1214631,1226293,1232139,1219135,1199871,1220039,1214108,1169382,1178771,1200710,1228577
LAUST28000006,969239,998457,1014028,1021634,1051179,1055025,1073083,1084461,1092127,1124879,1159281,1155079,1148403,1162848,1175744,1190725,1197633,1211182,1242550,1257567,1266609,1278015,1281362,1291684,1314154,1302564,1302235,1310099,1315664,1321735,1287234,1302204,1302484,1290610,1317216,1343846,1339439
LASST29000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
LASST29000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205983
LASST29000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2792349
LASST29000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2998332
LAUST29000003,6.2,5.9,4.8,4.6,7.3,7.5,9.2,9.8,7.1,6.4,6.2,6.2,5.6,5.5,5.8,6.5,6,6.1,4.9,4.7,4.7,4.3,4,3.1,3.3,4.5,5.2,5.6,5.8,5.4,4.8,5,5.9,9.4,9.4,8.6,6.6
LAUST29000004,130971,130270,108916,105556,167497,173882,214771,231982,169462,156195,155759,157812,144111,142469,150586,172901,159668,165955,136375,131989,134546,124029,116002,91337,97756,134861,155947,165616,171902,161747,146548,153836,180804,290077,285541,260505,197820
LAUST29000005,1994782,2070671,2138666,2182198,2142085,2146007,2117158,2132956,2222714,2286401,2348204,2393769,2431933,2470365,2456998,2474167,2502779,2539792,2622286,2690210,2734860,2780185,2794869,2819853,2875336,2867853,2829985,2813571,2815878,2849708,2889461,2894771,2871930,2784226,2767306,2785797,2817196
LAUST29000006,2125753,2200941,2247582,2287754,2309582,2319889,2331929,2364938,2392176,2442596,2503963,2551581,2576044,2612834,2607584,2647068,2662447,2705747,2758661,2822199,2869406,2904214,2910871,2911190,2973092,3002714,2985932,2979187,2987780,3011455,3036009,3048607,3052734,3074303,3052847,3046302,3015016
LASST30000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
LASST30000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30398
LASST30000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480153
LASST30000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510551
LAUST30000003,5.8,5.8,5.5,5.4,6.3,6.8,8.2,8.5,7.8,7.8,7.6,7.3,6.5,6,6,6.3,6.4,6,5.5,5.4,5.5,5.3,5.6,5.3,4.8,4.5,4.5,4.3,4,3.6,3.2,3.4,4.5,6.1,6.9,6.8,5.4
LAUST30000004,19278,20072,19797,19944,23371,26209,31681,33501,31211,31396,30324,29000,26240,24461,24595,25873,26900,25322,23817,23935,24683,24113,25681,24610,22313,21136,21018,20282,19181,17496,15946,17206,22759,30085,34463,34519,27709
LAUST30000005,313223,323885,342104,351981,350439,356646,353721,359206,370240,369880,370012,370730,375079,379930,383706,383776,390362,397257,410957,417770,422458,427504,435156,440646,446552,447827,445281,450190,456385,463251,476412,485500,486704,465911,465615,469891,482687
LAUST30000006,332501,343957,361901,371925,373810,382855,385402,392707,401451,401276,400336,399730,401319,404391,408301,409649,417262,422579,434774,441705,447141,451617,460837,465256,468865,468963,466299,470472,475566,480747,492358,502706,509463,495996,500078,504410,510396
LASST31000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
LASST31000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39229
LASST31000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982869
LASST31000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022098
LAUST31000003,3.2,3.4,3,2.8,3.9,4.1,5.7,5.7,4.4,5.1,4.9,4.4,3.5,2.8,2.3,2.6,2.9,2.8,2.6,2.6,2.8,2.4,2.5,2.8,2.8,3.1,3.7,4,3.9,3.9,3,3,3.3,4.7,4.7,4.4,3.5
LAUST31000004,22996,25413,22455,21196,29778,31331,44546,44959,34797,41314,40205,35631,28413,23420,18904,22034,24013,24045,23273,23748,25389,22322,23462,25919,26564,30037,35611,38681,38210,37725,29426,29066,32638,45994,46434,44625,35871
LAUST31000005,689157,715739,736018,743230,737510,740568,737985,741568,755912,763188,773346,777666,791621,798674,797799,810181,817915,837361,862659,882603,896132,904492,914644,916270,923198,925783,921201,931622,938105,935447,943176,952622,960250,937434,942075,960830,990418
LAUST31000006,712153,741152,758473,764426,767288,771899,782531,786527,790709,804502,813551,813297,820034,822094,816703,832215,841928,861406,885932,906351,921521,926814,938106,942189,949762,955820,956812,970303,976315,973172,972602,981688,992888,983428,988509,1005455,1026289
LASST32000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
LASST32000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156646
LASST32000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210893
LASST32000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367539
LAUST32000003,8.9,6.7,4.8,4.9,6.5,7.5,9.9,9.7,7.7,7.5,6.6,6.1,5.3,4.8,5.1,6.3,6.9,6.8,6.1,5.6,5.2,4.5,4.4,4.3,4.5,5.3,5.7,5.2,4.4,4.5,4.2,4.7,7,11.6,13.7,13.5,10.9
LAUST32000004,29229,23649,17943,19710,27933,34506,47626,47130,38756,38473,35282,33975,30667,29038,33380,43371,50482,51866,49770,47336,46282,42545,43403,43615,47624,58838,64303,60403,52091,54914,54110,61078,94866,159144,190420,187732,149303
LAUST32000005,299294,327543,356302,382058,402030,425379,431762,439583,462590,477421,498804,521433,549759,579858,622516,650324,677076,714032,764451,805286,847274,895258,938662,978969,1015221,1042182,1066477,1093507,1128223,1173425,1222277,1245102,1254483,1207767,1195309,1198140,1222144
LAUST32000006,328523,351192,374245,401768,429963,459885,479388,486713,501346,515894,534086,555408,580426,608896,655896,693695,727558,765898,814221,852622,893556,937803,982065,1022584,1062845,1101020,1130780,1153910,1180314,1228339,1276387,1306180,1349349,1366911,1385729,1385872,1371447
LASST33000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
LASST33000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42192
LASST33000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698158
LASST33000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740350
LAUST33000003,6.7,5.6,3.8,3.2,4.6,5.2,7,5.6,4.3,3.8,2.5,2.3,2.5,3.5,5.6,7.3,7.6,6.3,4.7,4,3.7,3.1,2.9,2.8,2.7,3.4,4.5,4.5,3.9,3.6,3.5,3.5,3.9,6.2,6.1,5.4,5.2
LAUST33000004,26489,23360,16624,14588,21482,25046,34119,28187,22592,20453,14162,13251,14663,21511,35005,44831,46739,39170,29631,25121,23617,20625,19268,18838,18713,24202,32362,31645,27700,26346,25899,26251,29102,46176,45364,39991,38547
LAUST33000005,370837,395614,420283,439143,444956,453640,455859,471077,502198,524325,547918,569498,582857,587572,585032,569621,568909,580137,594935,605929,617629,635469,651292,666066,675541,680706,679818,679420,687855,696765,708748,713782,714665,696384,693985,698290,701265
LAUST33000006,397326,418974,436907,453731,466438,478686,489978,499264,524790,544778,562080,582749,597520,609083,620037,614452,615648,619307,624566,631050,641246,656094,670560,684904,694254,704908,712180,711065,715555,723111,734647,740033,743767,742560,739349,738281,739812
LASST34000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
LASST34000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447294
LASST34000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4145156
LASST34000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4592450
LAUST34000003,10.5,9.3,7.3,6.9,7.3,7.5,8.7,8,6.2,5.6,5,4.1,3.8,4.1,5.1,6.8,8.5,7.6,6.8,6.5,6.2,5.3,4.6,4.5,3.7,4.3,5.8,5.9,4.9,4.5,4.6,4.3,5.5,9,9.6,9.3,9.4
LAUST34000004,346342,315923,251462,245714,261034,269792,314691,296169,234154,215102,196985,161257,151645,164716,207536,273748,342449,307323,277526,265506,258258,226418,195304,191841,157473,184797,253544,255499,214685,196713,207168,191689,246829,408079,437436,424354,432605
LAUST34000005,2963559,3067906,3211992,3326100,3329840,3341361,3314529,3392615,3560939,3624435,3706543,3798535,3821831,3835331,3864958,3776632,3709471,3727262,3789960,3846322,3925794,4031022,4047062,4092714,4130310,4117543,4117265,4108397,4144223,4207738,4257899,4264617,4262281,4138364,4116640,4131832,4177845
LAUST34000006,3309901,3383829,3463454,3571814,3590874,3611153,3629220,3688784,3795093,3839537,3903528,3959792,3973476,4000047,4072494,4050380,4051920,4034585,4067486,4111828,4184052,4257440,4242366,4284555,4287783,4302340,4370809,4363896,4358908,4404451,4465067,4456306,4509110,4546443,4554076,4556186,4610450
LASST35000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
LASST35000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58274
LASST35000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867422
LASST35000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925696
LAUST35000003,8.8,7.6,6.3,6.6,7.6,7.4,9,9.5,8,8.7,9.2,9,7.6,6.7,6.8,7.2,7.5,7.3,6.6,6.8,7.5,6.6,6.2,5.6,5,4.9,5.5,5.9,5.8,5.2,4.1,3.5,4.5,6.8,7.9,7.4,6.0
LAUST35000004,42595,38879,33473,36338,42897,42675,53392,57720,50206,56347,61401,60780,51729,46509,48193,51545,54984,54795,51440,54064,61036,54031,52218,46936,42269,42679,48321,52633,51863,47104,37808,32545,42585,64173,74176,68834,56323
LAUST35000005,442856,470681,497241,514943,520151,535494,539419,550140,578333,593047,605821,613362,630267,645302,663698,667698,680463,700258,725387,744557,751826,768596,783661,793052,810024,821003,823191,835835,849970,866349,886708,903919,903902,872985,860204,858951,876989
LAUST35000006,485451,509560,530714,551281,563048,578169,592811,607860,628539,649394,667222,674142,681996,691811,711891,719243,735447,755053,776827,798621,812862,822627,835879,839988,852293,863682,871512,888468,901833,913453,924516,936464,946487,937158,934380,927785,933312
LASST36000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
LASST36000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830601
LASST36000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8755695
LASST36000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9586296
LAUST36000003,10.2,9.2,7.8,7.2,7.5,7.6,8.5,8.7,7.1,6.6,6.2,4.9,4.3,5,5.3,7.3,8.6,7.9,6.9,6.4,6.3,6.5,5.7,5.2,4.5,4.9,6.2,6.4,5.8,5,4.6,4.6,5.4,8.3,8.6,8.2,8.3
LAUST36000004,785645,710224,609164,574080,601408,605740,682021,694399,578363,548567,525392,413772,366124,433105,469056,642176,755216,685436,601744,551039,551632,580967,512250,476648,415531,449342,577608,595111,544072,474316,437408,434303,517772,804438,824668,774652,797579
LAUST36000005,6903595,7021092,7236434,7412220,7378679,7402009,7297252,7332020,7548937,7735385,7897337,8071485,8190324,8277276,8339800,8112503,7979726,8013498,8080243,8125798,8228913,8416544,8546550,8657431,8751441,8743924,8721428,8703889,8816013,8947069,9062464,9097751,9113919,8836180,8762263,8729587,8822628
LAUST36000006,7689240,7731316,7845598,7986300,7980087,8007749,7979273,8026419,8127300,8283952,8422729,8485257,8556448,8710381,8808856,8754679,8734942,8698934,8681987,8676837,8780545,8997511,9058800,9134079,9166972,9193266,9299036,9299000,9360085,9421385,9499872,9532054,9631691,9640618,9586931,9504239,9620207
LASST37000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
LASST37000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439601
LASST37000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4269351
LASST37000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4708952
LAUST37000003,6.3,5.9,4.6,4.8,6.4,6.6,9.5,8.9,6.8,5.8,5.3,4.6,3.7,3.6,4.2,5.9,6.2,5.2,4.4,4.4,4.4,3.9,3.5,3.3,3.7,5.6,6.6,6.5,5.5,5.3,4.8,4.8,6.3,10.5,10.9,10.5,8.8
LAUST37000004,164888,159030,126548,135726,181920,192580,279630,261497,205492,178405,169691,149121,124487,121936,145403,209588,223851,186885,161568,166206,171017,153176,140781,132705,154577,234934,279282,274195,236325,229030,212829,214615,288200,477374,504883,489097,416631
